Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
530244251120090, 530244251340995, 530244251413401, 530244251418494, 530244251531270, 530244281011079, 530244281023097, 530244281232743
530244281243706, 530244281520499, 530244281598942, 530244281603794, 530244281727052, 530244310961289, 530244310968900, 530244311104065
530244311114824, 530244311347248, 530244311420043, 530244311425451, 530244311533579, 530244340776149, 530244340785557, 530244340959388
530244340968869, 530244341227996, 530244341295421, 530244341300236, 530244341414660, 530244370666379, 530244370675286, 530244370805933
530244370814933, 530244371047097, 530244371123151, 530244371127966, 530244371242706, 530244401103880, 530244401115491, 530244401310007
530244401320618, 530244401603022, 530244401669818, 530244402062906, 530244402216737, 530244431454863, 530244431462363, 530244431637806
530244431646083, 530244431916099, 530244431992709, 530244431999265, 530244432139670, 530244462289156, 530244462296434, 530244462409636
530244462416284, 530244462634004, 530244462702762, 530244462707466, 530244462812280, 530244492064850, 530244492072628, 530244492178812
530244492186960, 530244492398883, 530244492468827, 530244492473660, 530244492583751, 530244522041153, 530244522058004, 530244522252076
530244522259261, 530244522568369, 530244522641405, 530244522646257, 530244522779940, 530244552030918, 530244552039011, 530244552172028
530244552180583, 530244552420488, 530244552483524, 530244552488765, 530244552602356, 530244581826815, 530244581833686, 530244581930518
530244581937777, 530244582147071, 530244582214385, 530244582219533, 530244582326365, 530244611561306, 530244611569565, 530244611692379
530244611699916, 530244611932487, 530244612036189, 530244612041838, 530244612164799, 530244642502616, 530244642514023, 530244642737428
530244642748373, 530244643032406, 530244643107146, 530244643112313, 530244643240108, 530244672486845, 530244672494567, 530244672609880
530244672618695, 530244672834711, 530244672895414, 530244672900358, 530244673013783, 530244702233891, 530244702240983, 530244702348260
530244702354000, 530244702565016, 530244702626960, 530244702631849, 530244702735422, 530244731975696, 530244731985159, 530244732135861
530244732143361, 530244732394599, 530244732468616, 530244732473783, 530244732598522, 530244761860444, 530244761871018, 530244762101349
530244762112515, 530244762402142, 530244762476604, 530244762481437, 530244762609973, 530244791844062, 530244791852080, 530244791971856
530244791980134, 530244792213872, 530244792281038, 530244792285908, 530244792391852, 530244822014992, 530244822031362, 530244822216008
530244822223211, 530244822519004, 530244822592837, 530244822597781, 530244822723835, 530244853648405, 530244853660256, 530244853802088
530244853810699, 530244854045993, 530244854118955, 530244854123918, 530244854240972, 530244885280151, 530244885295577, 530244885517982
530244885525074, 530244885818701, 530244885885107, 530244885890107, 530244886023069, 530244915392693, 530244915404008, 530244915545840
530244915554562, 530244915796318, 530244915864836, 530244915869947, 530244915979649, 530244947076087, 530244947086272, 530244947209123
530244947216012, 530244947433083, 530244947495971, 530244947500730, 530244947609248, 530244976857800, 530244976865596, 530244976964446
530244976971743, 530244977177666, 530244977241777, 530244977246295, 530244977351998, 530245007103858, 530245007116117, 530245007335541
530245007346448, 530245007624852, 530245007692092, 530245007697222, 530245007831109, 530245037074402, 530245037082179, 530245037212011
530245037221474, 530245037453138, 530245037515971, 530245037521637, 530245037639988, 530245068292523, 530245068299505, 530245068399281
