Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130401372573999, 1130401372574592, 1130401372600462, 1130401372614517, 1130401372641795, 1130401373480785, 8192
1130401373505859, 1130401373506470, 1130401373531470, 1130401373544562, 1130401373574858, 1130401374396330, 8191
1130401374423293, 1130401374423904, 1130401374445793, 1130401374460700, 1130401374485663, 1130401375369134, 8192
1130401375392560, 1130401375393171, 1130401375416560, 1130401375430115, 1130401375459615, 1130401376359901, 8191
1130401376434844, 1130401376435474, 1130401376475122, 1130401376488436, 1130401376525454, 1130401377553498, 8192
1130401378955242, 1130401378956168, 1130401379021852, 1130401379038204, 1130401379071240, 1130401380329208, 8191
1130401381114088, 1130401381114939, 1130401381192346, 1130401381209198, 1130401381247345, 1130401382330815, 8192
1130401382445369, 1130401382445998, 1130401382505257, 1130401382523461, 1130401382569553, 1130401383430024, 8191
1130401385793831, 1130401385794423, 1130401385891645, 1130401385909330, 1130401386073050, 1130401387580885, 16383
1130401388452745, 1130401388453560, 1130401388494226, 1130401388507393, 1130401388540985, 1130401389454549, 8192
1130401389549696, 1130401389550307, 1130401389580825, 1130401389594658, 1130401389628547, 1130401390410853, 8191
1130401390491278, 1130401390492000, 1130401390518851, 1130401390532814, 1130401390565443, 1130401391348009, 8192
1130401391427415, 1130401391428045, 1130401391453545, 1130401391467118, 1130401391490822, 1130401392347312, 8191
1130401392465663, 1130401392466403, 1130401392507014, 1130401392521421, 1130401392562550, 1130401393486170, 8192
1130401396297545, 1130401396298397, 1130401396399137, 1130401396419062, 1130401396585949, 1130401398100191, 16383
1130401399012774, 1130401399013385, 1130401399056884, 1130401399070717, 1130401399111532, 1130401400046318, 8192
1130401400182075, 1130401400182723, 1130401400224834, 1130401400238797, 1130401400273556, 1130401401089306, 8191
1130401401172934, 1130401401173583, 1130401401202879, 1130401401215952, 1130401401248137, 1130401402027721, 8192
1130401402108165, 1130401402108794, 1130401402135905, 1130401402150275, 1130401402175793, 1130401402932581, 8191
1130401403008710, 1130401403009321, 1130401403034599, 1130401403048395, 1130401403075302, 1130401403842812, 8192
1130401403952977, 1130401403953607, 1130401403980458, 1130401403994606, 1130401404041772, 1130401404912985, 8191
1130401404997798, 1130401404998465, 1130401405032854, 1130401405047298, 1130401405081242, 1130401405888937, 8192
1130401406089194, 1130401406089842, 1130401406133119, 1130401406149526, 1130401406181230, 1130401406986294, 8191
1130401407069090, 1130401407069738, 1130401407098052, 1130401407111497, 1130401407144552, 1130401407918339, 8192
1130401408064301, 1130401408064949, 1130401408106097, 1130401408119967, 1130401408150689, 1130401409014179, 8191
1130401409918409, 1130401409919113, 1130401409979983, 1130401409997909, 1130401410036149, 1130401411005786, 8192
1130401411114785, 1130401411115414, 1130401411161043, 1130401411178358, 1130401411220895, 1130401412173513, 8191
1130401413304686, 1130401413305427, 1130401413390537, 1130401413408000, 1130401413444407, 1130401414357452, 8192
1130401414496432, 1130401414497172, 1130401414531468, 1130401414545635, 1130401414582560, 1130401415474384, 8191
1130401415558290, 1130401415558920, 1130401415592419, 1130401415606456, 1130401415636863, 1130401416630352, 8192
1130401416711240, 1130401416711851, 1130401416746054, 1130401416759999, 1130401416788332, 1130401417562027, 8191
1130401417637303, 1130401417637915, 1130401417666229, 1130401417680414, 1130401417711673, 1130401418473275, 8192
1130401418583626, 1130401418584367, 1130401418611755, 1130401418625903, 1130401418650699, 1130401419406654, 8191
